sequence,batch_code,batch_no,sheet_code,sheet_no,sheet_position,sheet_slot,character_id,filename_png,name,epithet,role,role_display,anime_type,anime_type_display,visible_genre_1,visible_genre_1_display,visible_genre_2,visible_genre_2_display,hidden_genre,hidden_genre_display,overt_hook,hidden_background_hint,coverage_edges_this_member,concept_brief
11,B01,1,S02,2,R1C1,1,g30_protag_shonen_011,g30_protag_shonen_011.png,Farah Erdem,The Beast Underworld Heart Vanguard,protag,Lead,shonen,Shonen,monster_taming,Monster Taming,crime,Crime,romance,Romance,A fearless lead concept that overtly sells Monster Taming x Crime.,"petals, soft lights, letters, balcony rails, heart motifs",crime+monster_taming | crime+romance | monster_taming+romance,"A dynamic frontline lead with a bold silhouette, action-forward pose and strong commercial hook. Battle-ready non-human character blending partner-creature gear, capture tools, talismans, companion-bond energy with detective, gangster, police or heist aesthetics with urban grit. Subtle background hint only: petals, soft lights, letters, balcony rails, heart motifs. Color accent idea: obsidian and red. Keep pose dynamic, anatomy clean, no extra limbs, and make the hidden genre read only as a subtle environment cue."
12,B01,1,S02,2,R1C2,2,g30_protag_shonen_012,g30_protag_shonen_012.png,Asuka Shimada,The Titan Abyss Heart Vanguard,protag,Lead,shonen,Shonen,kaiju,Kaiju,cosmic_horror,Cosmic Horror,romance,Romance,A scrappy lead concept that overtly sells Kaiju x Cosmic Horror.,"petals, soft lights, letters, balcony rails, heart motifs",cosmic_horror+kaiju | cosmic_horror+romance | kaiju+romance,"A dynamic frontline lead with a bold silhouette, action-forward pose and strong commercial hook. Driven human character blending defence-force, monster-hunter or scaled-beast spectacle language with occult, forbidden-text, cult or abyssal dread visuals. Subtle background hint only: petals, soft lights, letters, balcony rails, heart motifs. Color accent idea: indigo and brass. Keep pose dynamic, anatomy clean, no extra limbs, and make the hidden genre read only as a subtle environment cue."
13,B01,1,S02,2,R1C3,3,g30_protag_shonen_013,g30_protag_shonen_013.png,Adisa Garcia,The Beast Underworld Arena Vanguard,protag,Lead,shonen,Shonen,monster_taming,Monster Taming,crime,Crime,sports,Sports,A heroic lead concept that overtly sells Monster Taming x Crime.,"stadium floodlights, lane markings, scoreboards, locker-room cues",crime+monster_taming | crime+sports | monster_taming+sports,"A dynamic frontline lead with a bold silhouette, action-forward pose and strong commercial hook. Fearless human character blending partner-creature gear, capture tools, talismans, companion-bond energy with detective, gangster, police or heist aesthetics with urban grit. Subtle background hint only: stadium floodlights, lane markings, scoreboards, locker-room cues. Color accent idea: sand and turquoise. Keep pose dynamic, anatomy clean, no extra limbs, and make the hidden genre read only as a subtle environment cue."
14,B01,1,S02,2,R1C4,4,g30_protag_shonen_014,g30_protag_shonen_014.png,Ingrid Nygaard,The Titan Abyss Arena Vanguard,protag,Lead,shonen,Shonen,kaiju,Kaiju,cosmic_horror,Cosmic Horror,sports,Sports,A hot-blooded lead concept that overtly sells Kaiju x Cosmic Horror.,"stadium floodlights, lane markings, scoreboards, locker-room cues",cosmic_horror+kaiju | cosmic_horror+sports | kaiju+sports,"A dynamic frontline lead with a bold silhouette, action-forward pose and strong commercial hook. Scrappy demi-human character blending defence-force, monster-hunter or scaled-beast spectacle language with occult, forbidden-text, cult or abyssal dread visuals. Subtle background hint only: stadium floodlights, lane markings, scoreboards, locker-room cues. Color accent idea: violet and silver. Keep pose dynamic, anatomy clean, no extra limbs, and make the hidden genre read only as a subtle environment cue."
15,B01,1,S02,2,R1C5,5,g30_protag_shonen_015,g30_protag_shonen_015.png,Hadi Khalil,The Beast Underworld Neon Vanguard,protag,Lead,shonen,Shonen,monster_taming,Monster Taming,crime,Crime,cyber,Cyber,A resolute lead concept that overtly sells Monster Taming x Crime.,"neon grids, holograms, circuit traces, city rain reflections",crime+cyber | crime+monster_taming | cyber+monster_taming,"A dynamic frontline lead with a bold silhouette, action-forward pose and strong commercial hook. Heroic human character blending partner-creature gear, capture tools, talismans, companion-bond energy with detective, gangster, police or heist aesthetics with urban grit. Subtle background hint only: neon grids, holograms, circuit traces, city rain reflections. Color accent idea: scarlet and gold. Keep pose dynamic, anatomy clean, no extra limbs, and make the hidden genre read only as a subtle environment cue."
16,B01,1,S02,2,R2C1,6,g30_protag_shonen_016,g30_protag_shonen_016.png,Chihiro Miura,The Titan Abyss Neon Vanguard,protag,Lead,shonen,Shonen,kaiju,Kaiju,cosmic_horror,Cosmic Horror,cyber,Cyber,A kinetic lead concept that overtly sells Kaiju x Cosmic Horror.,"neon grids, holograms, circuit traces, city rain reflections",cosmic_horror+cyber | cosmic_horror+kaiju | cyber+kaiju,"A dynamic frontline lead with a bold silhouette, action-forward pose and strong commercial hook. Hot-blooded non-human character blending defence-force, monster-hunter or scaled-beast spectacle language with occult, forbidden-text, cult or abyssal dread visuals. Subtle background hint only: neon grids, holograms, circuit traces, city rain reflections. Color accent idea: navy and amber. Keep pose dynamic, anatomy clean, no extra limbs, and make the hidden genre read only as a subtle environment cue."
17,B01,1,S02,2,R2C2,7,g30_protag_shonen_017,g30_protag_shonen_017.png,Alejandra Mensah,The Beast Underworld Realm Vanguard,protag,Lead,shonen,Shonen,monster_taming,Monster Taming,crime,Crime,fantasy,Fantasy,A battle-ready lead concept that overtly sells Monster Taming x Crime.,"runes, relics, banners, ancient stonework, enchanted forests",crime+fantasy | crime+monster_taming | fantasy+monster_taming,"A dynamic frontline lead with a bold silhouette, action-forward pose and strong commercial hook. Resolute human character blending partner-creature gear, capture tools, talismans, companion-bond energy with detective, gangster, police or heist aesthetics with urban grit. Subtle background hint only: runes, relics, banners, ancient stonework, enchanted forests. Color accent idea: obsidian and red. Keep pose dynamic, anatomy clean, no extra limbs, and make the hidden genre read only as a subtle environment cue."
18,B01,1,S02,2,R2C3,8,g30_protag_shonen_018,g30_protag_shonen_018.png,Jonas Voss,The Titan Abyss Realm Vanguard,protag,Lead,shonen,Shonen,kaiju,Kaiju,cosmic_horror,Cosmic Horror,fantasy,Fantasy,A driven lead concept that overtly sells Kaiju x Cosmic Horror.,"runes, relics, banners, ancient stonework, enchanted forests",cosmic_horror+fantasy | cosmic_horror+kaiju | fantasy+kaiju,"A dynamic frontline lead with a bold silhouette, action-forward pose and strong commercial hook. Kinetic human character blending defence-force, monster-hunter or scaled-beast spectacle language with occult, forbidden-text, cult or abyssal dread visuals. Subtle background hint only: runes, relics, banners, ancient stonework, enchanted forests. Color accent idea: indigo and brass. Keep pose dynamic, anatomy clean, no extra limbs, and make the hidden genre read only as a subtle environment cue."
19,B01,1,S02,2,R2C4,9,g30_protag_shonen_019,g30_protag_shonen_019.png,Idris Sabbagh,The Beast Underworld Stage Vanguard,protag,Lead,shonen,Shonen,monster_taming,Monster Taming,crime,Crime,idol,Idol,A fearless lead concept that overtly sells Monster Taming x Crime.,"stage lights, star confetti, speaker stacks, glowsticks",crime+idol | crime+monster_taming | idol+monster_taming,"A dynamic frontline lead with a bold silhouette, action-forward pose and strong commercial hook. Battle-ready demi-human character blending partner-creature gear, capture tools, talismans, companion-bond energy with detective, gangster, police or heist aesthetics with urban grit. Subtle background hint only: stage lights, star confetti, speaker stacks, glowsticks. Color accent idea: sand and turquoise. Keep pose dynamic, anatomy clean, no extra limbs, and make the hidden genre read only as a subtle environment cue."
20,B01,1,S02,2,R2C5,10,g30_protag_shonen_020,g30_protag_shonen_020.png,Ilyas Barakat,The Titan Abyss Stage Vanguard,protag,Lead,shonen,Shonen,kaiju,Kaiju,cosmic_horror,Cosmic Horror,idol,Idol,A scrappy lead concept that overtly sells Kaiju x Cosmic Horror.,"stage lights, star confetti, speaker stacks, glowsticks",cosmic_horror+idol | cosmic_horror+kaiju | idol+kaiju,"A dynamic frontline lead with a bold silhouette, action-forward pose and strong commercial hook. Driven human character blending defence-force, monster-hunter or scaled-beast spectacle language with occult, forbidden-text, cult or abyssal dread visuals. Subtle background hint only: stage lights, star confetti, speaker stacks, glowsticks. Color accent idea: violet and silver. Keep pose dynamic, anatomy clean, no extra limbs, and make the hidden genre read only as a subtle environment cue."
21,B01,1,S03,3,R1C1,1,g30_protag_shonen_021,g30_protag_shonen_021.png,Leif Hagen,The Beast Underworld Cipher Vanguard,protag,Lead,shonen,Shonen,monster_taming,Monster Taming,crime,Crime,mystery,Mystery,A heroic lead concept that overtly sells Monster Taming x Crime.,"case boards, magnifying glass reflections, foggy windows, clues",crime+monster_taming | crime+mystery | monster_taming+mystery,"A dynamic frontline lead with a bold silhouette, action-forward pose and strong commercial hook. Fearless non-human character blending partner-creature gear, capture tools, talismans, companion-bond energy with detective, gangster, police or heist aesthetics with urban grit. Subtle background hint only: case boards, magnifying glass reflections, foggy windows, clues. Color accent idea: scarlet and gold. Keep pose dynamic, anatomy clean, no extra limbs, and make the hidden genre read only as a subtle environment cue."
22,B01,1,S03,3,R1C2,2,g30_protag_shonen_022,g30_protag_shonen_022.png,Amara Reyes,The Titan Abyss Cipher Vanguard,protag,Lead,shonen,Shonen,kaiju,Kaiju,cosmic_horror,Cosmic Horror,mystery,Mystery,A hot-blooded lead concept that overtly sells Kaiju x Cosmic Horror.,"case boards, magnifying glass reflections, foggy windows, clues",cosmic_horror+kaiju | cosmic_horror+mystery | kaiju+mystery,"A dynamic frontline lead with a bold silhouette, action-forward pose and strong commercial hook. Scrappy human character blending defence-force, monster-hunter or scaled-beast spectacle language with occult, forbidden-text, cult or abyssal dread visuals. Subtle background hint only: case boards, magnifying glass reflections, foggy windows, clues. Color accent idea: navy and amber. Keep pose dynamic, anatomy clean, no extra limbs, and make the hidden genre read only as a subtle environment cue."
23,B01,1,S03,3,R1C3,3,g30_protag_shonen_023,g30_protag_shonen_023.png,Daichi Kawahara,The Beast Underworld Mirth Vanguard,protag,Lead,shonen,Shonen,monster_taming,Monster Taming,crime,Crime,comedy,Comedy,A resolute lead concept that overtly sells Monster Taming x Crime.,"playful props, bright signage, exaggerated set pieces",comedy+crime | comedy+monster_taming | crime+monster_taming,"A dynamic frontline lead with a bold silhouette, action-forward pose and strong commercial hook. Heroic human character blending partner-creature gear, capture tools, talismans, companion-bond energy with detective, gangster, police or heist aesthetics with urban grit. Subtle background hint only: playful props, bright signage, exaggerated set pieces. Color accent idea: obsidian and red. Keep pose dynamic, anatomy clean, no extra limbs, and make the hidden genre read only as a subtle environment cue."
24,B01,1,S03,3,R1C4,4,g30_protag_shonen_024,g30_protag_shonen_024.png,Laleh Jafari,The Titan Abyss Mirth Vanguard,protag,Lead,shonen,Shonen,kaiju,Kaiju,cosmic_horror,Cosmic Horror,comedy,Comedy,A kinetic lead concept that overtly sells Kaiju x Cosmic Horror.,"playful props, bright signage, exaggerated set pieces",comedy+cosmic_horror | comedy+kaiju | cosmic_horror+kaiju,"A dynamic frontline lead with a bold silhouette, action-forward pose and strong commercial hook. Hot-blooded demi-human character blending defence-force, monster-hunter or scaled-beast spectacle language with occult, forbidden-text, cult or abyssal dread visuals. Subtle background hint only: playful props, bright signage, exaggerated set pieces. Color accent idea: indigo and brass. Keep pose dynamic, anatomy clean, no extra limbs, and make the hidden genre read only as a subtle environment cue."
25,B01,1,S03,3,R1C5,5,g30_protag_shonen_025,g30_protag_shonen_025.png,Liv Lund,The Beast Underworld Kitchen Vanguard,protag,Lead,shonen,Shonen,monster_taming,Monster Taming,crime,Crime,cooking,Cooking,A battle-ready lead concept that overtly sells Monster Taming x Crime.,"steam, hanging pans, chopping blocks, spice stalls",cooking+crime | cooking+monster_taming | crime+monster_taming,"A dynamic frontline lead with a bold silhouette, action-forward pose and strong commercial hook. Resolute human character blending partner-creature gear, capture tools, talismans, companion-bond energy with detective, gangster, police or heist aesthetics with urban grit. Subtle background hint only: steam, hanging pans, chopping blocks, spice stalls. Color accent idea: sand and turquoise. Keep pose dynamic, anatomy clean, no extra limbs, and make the hidden genre read only as a subtle environment cue."
26,B01,1,S03,3,R2C1,6,g30_protag_shonen_026,g30_protag_shonen_026.png,Anika Bako,The Titan Abyss Kitchen Vanguard,protag,Lead,shonen,Shonen,kaiju,Kaiju,cosmic_horror,Cosmic Horror,cooking,Cooking,A driven lead concept that overtly sells Kaiju x Cosmic Horror.,"steam, hanging pans, chopping blocks, spice stalls",cooking+cosmic_horror | cooking+kaiju | cosmic_horror+kaiju,"A dynamic frontline lead with a bold silhouette, action-forward pose and strong commercial hook. Kinetic non-human character blending defence-force, monster-hunter or scaled-beast spectacle language with occult, forbidden-text, cult or abyssal dread visuals. Subtle background hint only: steam, hanging pans, chopping blocks, spice stalls. Color accent idea: violet and silver. Keep pose dynamic, anatomy clean, no extra limbs, and make the hidden genre read only as a subtle environment cue."
27,B01,1,S03,3,R2C2,7,g30_protag_shonen_027,g30_protag_shonen_027.png,Eiji Hirasawa,The Beast Underworld Command Vanguard,protag,Lead,shonen,Shonen,monster_taming,Monster Taming,crime,Crime,military,Military,A fearless lead concept that overtly sells Monster Taming x Crime.,"sandbags, tactical screens, emblems, armored vehicles",crime+military | crime+monster_taming | military+monster_taming,"A dynamic frontline lead with a bold silhouette, action-forward pose and strong commercial hook. Battle-ready human character blending partner-creature gear, capture tools, talismans, companion-bond energy with detective, gangster, police or heist aesthetics with urban grit. Subtle background hint only: sandbags, tactical screens, emblems, armored vehicles. Color accent idea: scarlet and gold. Keep pose dynamic, anatomy clean, no extra limbs, and make the hidden genre read only as a subtle environment cue."
28,B01,1,S03,3,R2C3,8,g30_protag_shonen_028,g30_protag_shonen_028.png,Layla Najjar,The Titan Abyss Command Vanguard,protag,Lead,shonen,Shonen,kaiju,Kaiju,cosmic_horror,Cosmic Horror,military,Military,A scrappy lead concept that overtly sells Kaiju x Cosmic Horror.,"sandbags, tactical screens, emblems, armored vehicles",cosmic_horror+kaiju | cosmic_horror+military | kaiju+military,"A dynamic frontline lead with a bold silhouette, action-forward pose and strong commercial hook. Driven human character blending defence-force, monster-hunter or scaled-beast spectacle language with occult, forbidden-text, cult or abyssal dread visuals. Subtle background hint only: sandbags, tactical screens, emblems, armored vehicles. Color accent idea: navy and amber. Keep pose dynamic, anatomy clean, no extra limbs, and make the hidden genre read only as a subtle environment cue."
29,B01,1,S03,3,R2C4,9,g30_protag_shonen_029,g30_protag_shonen_029.png,Niko Wold,The Beast Underworld Spirit Vanguard,protag,Lead,shonen,Shonen,monster_taming,Monster Taming,crime,Crime,supernatural,Supernatural,A heroic lead concept that overtly sells Monster Taming x Crime.,"spirit wisps, shrine gates, sigils, moonlit talismans",crime+monster_taming | crime+supernatural | monster_taming+supernatural,"A dynamic frontline lead with a bold silhouette, action-forward pose and strong commercial hook. Fearless demi-human character blending partner-creature gear, capture tools, talismans, companion-bond energy with detective, gangster, police or heist aesthetics with urban grit. Subtle background hint only: spirit wisps, shrine gates, sigils, moonlit talismans. Color accent idea: obsidian and red. Keep pose dynamic, anatomy clean, no extra limbs, and make the hidden genre read only as a subtle environment cue."
30,B01,1,S03,3,R2C5,10,g30_protag_shonen_030,g30_protag_shonen_030.png,Emi Ueda,The Titan Abyss Spirit Vanguard,protag,Lead,shonen,Shonen,kaiju,Kaiju,cosmic_horror,Cosmic Horror,supernatural,Supernatural,A hot-blooded lead concept that overtly sells Kaiju x Cosmic Horror.,"spirit wisps, shrine gates, sigils, moonlit talismans",cosmic_horror+kaiju | cosmic_horror+supernatural | kaiju+supernatural,"A dynamic frontline lead with a bold silhouette, action-forward pose and strong commercial hook. Scrappy human character blending defence-force, monster-hunter or scaled-beast spectacle language with occult, forbidden-text, cult or abyssal dread visuals. Subtle background hint only: spirit wisps, shrine gates, sigils, moonlit talismans. Color accent idea: indigo and brass. Keep pose dynamic, anatomy clean, no extra limbs, and make the hidden genre read only as a subtle environment cue."
31,B01,1,S04,4,R1C1,1,g30_protag_shonen_031,g30_protag_shonen_031.png,Arjun Castillo,The Beast Underworld Void Vanguard,protag,Lead,shonen,Shonen,monster_taming,Monster Taming,crime,Crime,space,Space,A resolute lead concept that overtly sells Monster Taming x Crime.,"starfields, cockpit glass, planets, docking ports",crime+monster_taming | crime+space | monster_taming+space,"A dynamic frontline lead with a bold silhouette, action-forward pose and strong commercial hook. Heroic non-human character blending partner-creature gear, capture tools, talismans, companion-bond energy with detective, gangster, police or heist aesthetics with urban grit. Subtle background hint only: starfields, cockpit glass, planets, docking ports. Color accent idea: sand and turquoise. Keep pose dynamic, anatomy clean, no extra limbs, and make the hidden genre read only as a subtle environment cue."
32,B01,1,S04,4,R1C2,2,g30_protag_shonen_032,g30_protag_shonen_032.png,Runa Vik,The Titan Abyss Void Vanguard,protag,Lead,shonen,Shonen,kaiju,Kaiju,cosmic_horror,Cosmic Horror,space,Space,A kinetic lead concept that overtly sells Kaiju x Cosmic Horror.,"starfields, cockpit glass, planets, docking ports",cosmic_horror+kaiju | cosmic_horror+space | kaiju+space,"A dynamic frontline lead with a bold silhouette, action-forward pose and strong commercial hook. Hot-blooded human character blending defence-force, monster-hunter or scaled-beast spectacle language with occult, forbidden-text, cult or abyssal dread visuals. Subtle background hint only: starfields, cockpit glass, planets, docking ports. Color accent idea: violet and silver. Keep pose dynamic, anatomy clean, no extra limbs, and make the hidden genre read only as a subtle environment cue."
33,B01,1,S04,4,R1C3,3,g30_protag_shonen_033,g30_protag_shonen_033.png,Nadia Saad,The Beast Underworld Charm Vanguard,protag,Lead,shonen,Shonen,monster_taming,Monster Taming,crime,Crime,magical,Magical,A battle-ready lead concept that overtly sells Monster Taming x Crime.,"sparkles, transformation glyphs, ribbon trails, pastel magic",crime+magical | crime+monster_taming | magical+monster_taming,"A dynamic frontline lead with a bold silhouette, action-forward pose and strong commercial hook. Resolute human character blending partner-creature gear, capture tools, talismans, companion-bond energy with detective, gangster, police or heist aesthetics with urban grit. Subtle background hint only: sparkles, transformation glyphs, ribbon trails, pastel magic. Color accent idea: scarlet and gold. Keep pose dynamic, anatomy clean, no extra limbs, and make the hidden genre read only as a subtle environment cue."
34,B01,1,S04,4,R1C4,4,g30_protag_shonen_034,g30_protag_shonen_034.png,Fumiko Uchida,The Titan Abyss Charm Vanguard,protag,Lead,shonen,Shonen,kaiju,Kaiju,cosmic_horror,Cosmic Horror,magical,Magical,A driven lead concept that overtly sells Kaiju x Cosmic Horror.,"sparkles, transformation glyphs, ribbon trails, pastel magic",cosmic_horror+kaiju | cosmic_horror+magical | kaiju+magical,"A dynamic frontline lead with a bold silhouette, action-forward pose and strong commercial hook. Kinetic demi-human character blending defence-force, monster-hunter or scaled-beast spectacle language with occult, forbidden-text, cult or abyssal dread visuals. Subtle background hint only: sparkles, transformation glyphs, ribbon trails, pastel magic. Color accent idea: navy and amber. Keep pose dynamic, anatomy clean, no extra limbs, and make the hidden genre read only as a subtle environment cue."
35,B01,1,S04,4,R1C5,5,g30_protag_shonen_035,g30_protag_shonen_035.png,Ayodele Ibarra,The Beast Underworld Wild Vanguard,protag,Lead,shonen,Shonen,monster_taming,Monster Taming,crime,Crime,survival,Survival,A fearless lead concept that overtly sells Monster Taming x Crime.,"camp gear, rough maps, ropes, storm clouds, scavenged supplies",crime+monster_taming | crime+survival | monster_taming+survival,"A dynamic frontline lead with a bold silhouette, action-forward pose and strong commercial hook. Battle-ready human character blending partner-creature gear, capture tools, talismans, companion-bond energy with detective, gangster, police or heist aesthetics with urban grit. Subtle background hint only: camp gear, rough maps, ropes, storm clouds, scavenged supplies. Color accent idea: obsidian and red. Keep pose dynamic, anatomy clean, no extra limbs, and make the hidden genre read only as a subtle environment cue."
